chindi,cenglish
और हम ख़ुशी से आपके सवालों या चिंताओं का जवाब देंगे.,And we would be happy to answer your questions or concerns.
ठीक है उसके लिए शुक्रिया.,"All right, thank you for that."
कृपया एक मोमेंट के लिए मेरे साथ रहिये.,Please bear with me for a moment.
मैंने आपका अकाउंट चेक किया है और आपका करंट बैलेंस दो हज़ार पांच सो दस डॉलर दिखता है.,I've checked your account and your current balance shows two thousand five hundred and ten dollars.
क्या यह अमाउंट आपको सही लगता है?,Does that seem like the correct amount to you?
बिलकुल प्लान ा एक हाई डेडक्टिबले प्लान है जिसमे मंथली प्रीमियम्स काम होते हैं.,"Sure, Plan A is a high deductible plan with lower monthly premiums."
प्लान बी एक मिड- रेंज प्लान है जिसमे मॉडरेट डेडक्टिबल्स और प्रीमियम्स होते हैं.,Plan B is a mid-range plan with moderate deductibles and premiums.
प्लान स एक कम्प्रेहैन्सिव प्लान है जिसमे लौ डेडक्टिबल्स और हायर प्रीमियम्स होते हैं.,Plan C is a comprehensive plan with low deductibles and higher premiums.
उसके लिए शुक्रिया मस. बुफोर्ड.,"Thank you for that, Ms. Buford."
मुझे देख कर लगता है की आप बेसिक प्लान में एनरोलड हैं.,I see that you are enrolled in the basic plan.
यह प्रेवेन्ततिवे केयर को १०० परसेंट तक कवर करता है.,Which covers preventative care at 100 percent.
और बाकी मेडिकल प्रोसेदूरेस को ८० परसेंट तक कवर करता है जब डेडक्टिबले पूरा हो जाता है.,And most other medical procedures at 80 percent after the deductible has been met.
मैं इस तकलीफ और फ़्रस्ट्रेशन के लिए सच में माफ़ी चाहता   हूँ जो इसने आपको दिया है.,I sincerely apologize for the inconvenience and the frustration this has caused.
मैं समझ सकता हूँ की यह कितना उपसेटिंग हो सकता है.,I can imagine how upsetting this must be.
मैं आपको यकीन दिलाता  हूँ की मैं इस इशू को जल्दी से सोल्वे करने के लिए सब कुछ करूँगा .,Let me assure you that I will do everything I can to resolve this issue promptly.
लगभग बीस डॉलर पैर मंथ.,Around twenty dollars per month.
जबकि एक व्होले लाइफ पालिसी उसी व्यक्ति के लिए लगभग पचास डॉलर पैर मंथ की कॉस्ट हो सकती है.,While a whole life policy for the same individual might cost around fifty dollars per month.
एक यूनिवर्सल लाइफ पालिसी थोड़ी ज़्यादा कॉस्ट कर सकती है लगभग ७५ डॉलर पैर मंथ.,"A universal life policy might cost slightly more, around 75 dollars per month."
मैं इस तकलीफ के लिए सच में माफ़ी चाहता   हूँ.,I do apologize for the inconvenience.
हम अपनी पूरी कोशिश कर रहे हैं ताकि यह जल्दी से चालू हो जाये.,We are doing everything in our power to get it up and running as soon as possible.
मैं आपको एक टेक्स्ट मैसेज भेज दूंगा जब हमारी टेक टीम आपके एरिया में इशू रेसोल्वे कर देगी.,I will send you a text message when our tech crew resolves the issue in your area.
मैं बिलिंग एरर के लिए सच में माफ़ी चाहता   हूँ.,I do apologize for the billing error.
मुझे इससे आपके लिए ठीक करने के लिए एक मोमेंट दीजिये.,Just give me a moment to adjust this for you.
ठीक है मैंने आपका बिल एक्यूरेट चार्जेज के साथ एडजस्ट कर दिया है.,"All right, I've adjusted your bill to reflect the accurate charges."
आपको यह करेक्शन अपने अगले स्टेटमेंट में देखना चाहिए.,You should see the correction on your next statement.
मैं समझता  हूँ मुझे बहुत अफ़सोस है.,"I understand, I'm so sorry."
मैंने अभी आपकी कांटेक्ट इनफार्मेशन ढूंढी है.,I just found your contact information.
मैं इसे तुरंत इन्वेस्टीगेट करूँगा  और जल्द से जल्द आपको अपडेट देकर जवाब दूंगा.,I will investigate this right away and get back to you as soon as possible with an update.
क्या आपको टेक्स्ट मैसेज या ईमेल में से कुछ पसंद है?,Would you prefer a text message or an email?
उसके लिए शुक्रिया मिस्टर हर्रिस.,"Thank you for that, Mr. Harris."
बस कन्फर्म करने के लिए आपने सैटरडे जुलाई २९थ को १०:३० ए. एम . पर एक मिनीबस रिज़र्व किया है.,"Just to confirm, you have reserved a minibus on Saturday, July 29th at 10:30 a.m."
और रिटर्न  पिचकूप ट्रिनिटी पार्क से 5 पी एम . पर होगा.,With a return pickup at Trinity Park at 5 p.m.
क्या कुछ और है जिसमे मैं आपकी मदद कर सकूं?,Is there anything else I can help you with?
मैं समझता  हूँ और इस अनुभव के लिए सच में माफ़ी चाहता हूँ.,I understand and I truly apologize for this experience.
मैं आपको हर कदम पर अपडेट देने का ध्यान रखूँगा,I will make sure to keep you informed every step of the way.
आपके पेशेंस के लिए धन्यवाद मिस्टर वाल्टों.,"Thank you for your patience, Mr. Walton."
मैं आपके लिए इससे सोल्वे करने के लिए पूरी तरह से प्रतिबद्ध हूँ.,I'm committed to resolving this for you.
मैं आपकी फ़्रस्ट्रेशन को पूरी तरह समझता हूँ और इस तकलीफ के लिए माफ़ी चाहता हूँ.,I completely understand your frustration and I apologize for the inconvenience.
मैं तुरंत हमारे शिपिंग डिपार्टमेंट से कांटेक्ट करूँगा ताकि वो आपके आर्डर को पहले प्रिऑरिटीज़ करें.,I'll contact our shipping department right away to ensure they prioritize your order.
क्या कुछ और है जिसमे मैं आपकी मदद कर सकूं?,Anything else I can assist you with?
बिलकुल सर.,"Absolutely, sir."
मैं पर्सनली आपके केस को देखूंगा और एनअशोर करूँगा की तकनीशियन जल्दी से आये.,I'll personally oversee your case and ensure the technician arrives at the earliest opportunity.
क्या मैं आपका टेलीफोन नंबर कन्फर्म कर सकता हूँ ताकि तकनीशियन आप से डायरेक्टली कांटेक्ट कर सके?,Could I confirm your telephone number so the technician can contact you directly?
मुझे यह सुनके अफ़सोस हो रहा है की आपको बिलिंग से रिलेटेड इश्यूज हो रहे हैं.,I'm sorry to hear that you're experiencing billing issues.
मैं अपनी पूरी कोशिश करूँगा मदद करने के लिए.,I'll do my best to help.
क्या आप मुझे अपना अकाउंट नंबर या आपके अकाउंट से जोड़ा फ़ोन नंबर दे सकते हैं?,Could you please provide me with your account number or the phone number associated with your account?
शुक्रिया मुझे यहाँ इनफार्मेशन दिखने दीजिये.,"Thank you, let me just pull up the information here."
ठीक है मैं देख रहा हूँ की पॉलिसीहोल्डर लौरा स्मिथ है.,"All right, I see that the policyholder is Laura Smith."
क्या आप हमें पॉलिसीहोल्डर का डेट ऑफ़ बिरथ और सोशल सिक्योरिटी नंबर दे सकते हैं?,Could you provide us with the policyholder's date of birth and social security number?
यह मेरा प्लेअसुरे था मुझे ख़ुशी है की मैं मदद कर सका.,"It was my pleasure, I'm happy I could help."
आपके वैल्यूड कस्टमर होने के लिए धन्यवाद.,Thank you for being a valued customer.
अगर आपको कभी और कोई सवाल हो या मदद की ज़रूरत हो तो बिना किसी झिझक के हमसे कांटेक्ट करें.,"And if you ever have any more questions or need assistance, don't hesitate to reach out."
आपका दिन शुभ हो.,Have a wonderful day.
समझ गया चलिए इस महीने के बिल का ब्रेकडाउन ध्यान से देखते हैं.,"I see, let's take a closer look at the breakdown of this month's bill."
ताकि हम समझ सकें की प्राइस इनक्रीस का क्या रीज़न है.,So we can figure out what's causing the increase.
मैं चार्जेज को लाइन बी लाइन आपके लिए रिव्यु करूँगा .,I'll review the charges line by line for you.
इसमें बस एक पल लगेगा.,It'll just take a moment.
शुक्रिया मैंने आपकी इनफार्मेशन वेरीफाई कर ली है.,"Thank you, I have verified your information."
और मैं कन्फर्म कर सकता हूँ की आपका कार्ड अब एक्टिवटे हो गया है.,And I can confirm that your card has now been activated.
आपको इसे तुरंत उसे कर पाना चाहिए.,You should be able to use it right away.
क्या आज आपको कोई और मदद चाहिए?,Is there anything else I can help you with today?
उस इनफार्मेशन के लिए शुक्रिया.,Thank you for that information.
मैं देख रहा हूँ की क्लेम को देंय किया गया था क्यूंकि जो मेडिकल प्रोसीजर था वो इलेक्टिवे  सर्जरी के रूप में क्लासिफाइड  किया गया था.,I see that the claim was denied because the medical procedure in question was classified as elective surgery.
जो आपके इन्शुरन्स प्लान के अंडर कवर नहीं होता.,Which is not covered under your insurance plan.
यह वजह है की हम इसे कस्टमर्स को इतनी अच्छी प्राइस पर ऑफर कर पा  रहे हैं.,That is the reason we can offer it to customers at such a great price.
आपके केस में यह आपको लगभग $१६ पैर मंथ बचाएगा.,"In your case, it would save you approximately $16 per month."
क्या यह आपके बजट के हिसाब से फिट लगता है?,Does this seem like something that might fit your budget?
समझ गया  उस इनफार्मेशन को देने के लिए शुक्रिया.,"I understand, thank you for providing that information."
आपकी कालिंग नीड्स के लिए मैं आपको हमारा ग्लोब तरोत्तर प्लान रेकमेंड करता हूँ.,"For your calling needs, I recommend our Globe Trotter plan."
जिसमे बढ़ी हुई डाटा और यूरोप के लिए इंटरनेशनल कालिंग मिनट्स इन्क्लुदेद हैं.,Which includes increased data and international calling minutes to Europe.
अगर आपने आर्डर फॉर्म पर साइज गाइड चेक किया है तोह यह ठीक होना चाहिए.,"If you checked the size guide on the order form, it should be fine."
लेकिन अगर आपको फिट के बारे में सूरे नहीं है तोह हम फ्री रिटर्न्स ऑफर करते हैं.,"But if you're not sure about the fit, we do offer free returns."
तोह आप इसे पहन कर देख सकते हैं और अगर यह काम नहीं आता तोह आप इसे वापस कर सकते हैं.,So you can try it on and return it if it doesn't work out.
शुक्रिया मिस्टर डेविस मैं अभी आपके आर्डर डिटेल्स देखता हूँ.,"Thank you Mr. Davis, I'll pull up your order details right now."
जब तक मैं यह कर रहा हूँ बस कन्फर्म करना चाहता हूँ क्या आपने डिवाइस को रिसेट करने की कोशिश की थी पावर बटन को १० सेकण्ड्स तक दबा कर?,"While I'm doing that, just to confirm, have you already tried resetting the device by holding the power button for 10 seconds?"
हाँ मैं शिपमेंट में गलती देख रहा हूँ.,"Yes, I see the error in the shipment."
मैं गलत आइटम के लिए रिटर्न  शुरू करूँगा.,I'm going to initiate a return for the incorrect item.
और जो मॉडल एक्स आपने ओरिजनली आर्डर किया था उसका रिप्लेसमेंट सचेडूले करूँगा.,And schedule a replacement for the model X you originally ordered.
मैं गलती के लिए माफ़ी चाहता हूँ.,I do apologize for the error.
आपका शुक्रिया.,You're most welcome.
मैं  करूँगा की सब कुछ ठीक से हो जाये.,I'll make sure everything gets taken care of.
और जैसे ही रिप्लेसमेंट आता है मैं आप से फॉलो उप करूँगा.,And I'll follow up with you as soon as the replacement arrives.
क्या इस वक़्त कोई और मदद चाहिए आपको?,Is there anything else I can help you with at this time?
मैं माफ़ी चाहता हूँ की आपको हमारी सपोर्ट टीम तक पहुंचने में दिक्कत हुई.,I apologize for the difficulty you have had trying to reach our support team.
मुझे पता है की यह कितना फ़्रस्ट्रेटिंग हो सकता है.,I know how frustrating that can be.
क्या मैं आपका अकाउंट नंबर ले सकता हूँ ताकि मैं आपकी इनफार्मेशन देख सकूं?,May I have your account number so that I can look up your information?
मैं अभी आपका अकाउंट देख रहा हूँ.,I'm pulling up your account now.
ठीक है मैंने देख लिया.,"Okay, I've got it."
तोह आपने कहा था की आपका बिल उसुअल से ज़्यादा है.,So you mentioned that your bill is higher than usual.
क्या आपको पता है की त्यसैली कितना होता है और करंट अमाउंट क्या बताता है?,Do you happen to know how much it typically is and what the current amount says?
इसके लिए शुक्रिया. मैं आपका अकाउंट इनफार्मेशन देख लेता हूँ.,Thank you for that. Let me pull up your account information.
आपके पेशेंस का शुक्रिया. हमारा सिस्टम थोड़ा स्लो चल रहा है अभी.,Thank you for your patience. Our system is running a little slow right now.
यह रहा. क्या मैं आपका फर्स्ट और लास्ट नाम ले सकता हूँ?,Here it is. May I have your first and last name?
मैं कुछ महीने के लिए इससे तरय करूँगा.,I'll give it a try for a few months.
शानदार! मैं डिस्काउंटेड रेट अप्लाई करूँगा ताकि आपको अगला महीना फ्री मिले.,Wonderful! I'll apply the discounted rate so you'll get the next month free of charge.
और हाँ मैं फ्लेक्सिबल कैंसलेशन ऑप्शन का नोट भी कर रहा हूँ.,"Also, I'm making a note of the flexible cancellation option."
मुझे यह सुनकर बहुत अफ़सोस हो रहा है सर.,I'm really sorry to hear that sir.
मैं सिर्फ यह इमेजिन कर सकता हूँ की यह कितना उनकंफर्टबले हो सकता है.,I can only imagine how uncomfortable that must be.
ख़ास कर जब थर्मोस्टेट इतनी हाई टेम्परेचर पर स्टक हो.,Especially with the thermostat stuck on such a high temperature.
मैं ज़रूर अपना बेस्ट दूंगा.,I will certainly do my best.
मैं ज़रूर अपना बेस्ट दूंगा.,"No, that won't be necessary."
मैं ज़रूर अपना बेस्ट दूंगा.,"I appreciate you confirming that, Miss Thompson."
मैं ज़रूर अपना बेस्ट दूंगा.,I see you signed up for our six-month free trial back in March.
नहीं यह ज़रूरी नहीं होगा. मैं आपका मुझे शुक्रिया ऐडा करता हूँ मिस थॉम्पसन इस बात को कन्फर्म करने के लिए. देखा की आपने मार्च में हमारे सिक्स- और मंथ फ्री ट्रायल के लिए सिग्न उप किया था. ट्रायल पीरियड कुछ दिन पहले ख़तम हो गया था.,And the trial period ended a few days ago.
सर ऐसा लगता है की शिपिंग फैसिलिटी में कुछ डिले हुआ है.,"Sir, it looks like there was a delay at the shipping facility."
हमारे रिकार्ड्स के मुताबिक आपका पैकेज अब ट्रांजिट में है.,"According to our records, your package is now in transit."
और यह अगले ४ से ५ बिज़नेस दिन में पहुँच जाना चाहिए.,And should arrive within the next four to five business days.
और यह अगले ४ से ५ बिज़नेस दिन में पहुँच जाना चाहिए.,Thank you for bringing this to our attention.
और यह अगले ४ से ५ बिज़नेस दिन में पहुँच जाना चाहिए.,Please give me a couple of hours to look into the issue.
और यह अगले ४ से ५ बिज़नेस दिन में पहुँच जाना चाहिए.,And I will text you back.
इस बात को हमारे ध्यान में लाने के लिऔर मैं कृप्या मुझे ए शुक्रिया. कुछ घंटे दें मैं इस इशू को देखूंगा. आपको टेक्स्ट करके वापस बताऊंगा. क्या आज मैं आपकी और किसी चीज़ में मदद कर सकता हूँ?,Is there anything else I can assist you with today?
इस बात को हमारे ध्यान में लाने के लिऔर मैं कृप्या मुझे ए शुक्रिया. कुछ घंटे दें मैं इस इशू को देखूंगा. आपको टेक्स्ट करके वापस बताऊंगा. क्या आज मैं आपकी और किसी चीज़ में मदद कर सकता हूँ?,Thank you for bringing this to my attention.
मुझे यह बताने के लिए शुक्रिया. मैं किसी भी तकलीफ के लिए माफ़ी चाहता हूँ.,I apologize for any inconvenience.
मुझे यह बताने के लिए शुक्रिया. मैं किसी भी तकलीफ के लिए माफ़ी चाहता हूँ.,"If you have any more concerns or questions, please feel free to let me know."
अगर आपको कोई और चिंता या सवाHum आपके ल हो तोह बिना झिजक मुझे बताएं. feedback की कदर करते हैं.,We value your feedback.
"अगर आपको कोई और चिंता या सवाआपका स्वागत hai.

हम आपके ल हो तोह बिना झिजक मुझे बताएं. फीडबैक की कदर करते हैं. ",You're welcome.
अगर आपको कोई और चिंता या सवाआपका स्वागत है.हम आपके ल हो तोह बिना झिजक मुझे बताएं. फीडबैक की कदर करते हैं. अगर आपको आगे कोई सवाल हो या मदद की ज़रूरत हो तोह बिना झिजक हमसे संपर्क करें.,"If you have any further questions or need assistance in the future, please don't hesitate to contact us."
Single Step Credit Card Company को chune के लिए धन्यवाद.,Thank you for choosing Single Step Credit Card Company.
मुझे यह सुन कर बहुत ख़ुशी हुई मिस्टर गारफील्ड.,"I'm so glad to hear that, Mr. Garfield."
मेरा हमेशा यह लक्ष्य रहता है की आप कॉल के बाद अपनी साड़ी चिंताओं का हल पाएं.,It's always my goal to make sure you leave the call with all your concerns resolved.
क्या आज मैं आपकी किसी और मदद कर सकता हूँ?,Is there anything else I can assist you with today?
मैं बस आपका अकाउंट इनफार्मेशन देख लेता हूँ.,Let me just pull up your account information.
मुझे जो भी तकलीफ आपको हुई है उसके लिए मैं माफ़ी चाहता हूँ.,I do apologize for any inconvenience you have experienced.
मुझे जो भी तकलीफ आपको हुई है उसके लिए मैं माफ़ी चाहता हूँ.,"For verification purposes, may I have your first and last name please?"
पहचान के लिए क्या आप अपना पहलामें और आखरी नाम दे सकते हैं? समझ रहा हूँ.,I understand.
मैं कैंसलेशन प्रोसेस में आपकी मदद करने के लिए ख़ुशी से तैयार हूँ.,I would be happy to assist you with the cancellation process.
क्या आप मुझे अपना नया मेलिंग एड्रेस दे सकते हैं?,Could you please provide me with your new mailing address?
ताकि मैं इसे हमारे रिकार्ड्स में अपडेट कर सकूं.,So that I can update it for our records.
मैं आपकी चिंता समझ रहा हूँ.,I understand your concern.
और मैं यहाँ मदद के लिए हूँ.,And I'm here to help.
डिस्प्यूट प्रोसेस शुरू करने के लिए मुझे आप से कुछ जानकारी चाहिए होगी.,"To initiate the dispute process, I'll need some information from you."
क्या आप मुझे अपना क्रेडिट कार्ड नंबर दे सकते हैं?,Could you please provide me with your credit card number?
आपका स्वागत है मिस गइलेट्टे.,You're welcome Miss Gillette.
अगर आपको कोई और सवाल हो या मदद चाहिए हो तोह बिना झिजक हमसे संपर्क करें.,"If you have any more questions or need further assistance, please don't hesitate to reach out."
क्या आज मैं आपकी और मदद कर सकता हूँ?,Is there anything else I can help you with today?
मुझे सच में खेद है की आपको जो सोलूशन्स दिए वह आपको पसंद नहीं आये.,I'm really sorry you're not satisfied with the solutions I provided.
मैं तुरंत अपने मैनेजर को लाइन पर लाऊंगा आपके लिए.,I'll get my manager on the line for you right away.
कृपया थोड़ी देर के लिए रुकिए मैं आपको ट्रांसफर कर रहा हूँ.,Please hold for just a moment while I transfer you.
मैं पूरी तरह समझता हूँ की आप कितने परेशान हैं और इस असुविधा के लिए माफ़ी चाहता हूँ.,I completely understand your frustration and I apologize for the inconvenience.
स्लो इंटरनेट सच में परेशानी वाला होता है.,Slow internet is certainly frustrating.
आपकी और अच्छी मदद के लिए मुझे आपका अकाउंट चेक करने दीजिये.,"To better assist you, let me look into your account."
मैं आपकी नाराज़गी को पूरी तरह समझता हूँ.,I completely understand your frustration.
आपको हुई असुविधा के लिए माफ़ी चाहता हूँ.,I apologize for the inconvenience.
स्लो इंटरनेट सच में परेशानी वाली बात होती है.,Slow internet is certainly frustrating.
आपकी बेहतर मदद के लिए मैं आपके अकाउंट का जानकारी चेक करता हूँ.,"To better assist you, let me look into your account."
मैं आपकी sthiti को समझता हूँ.,I understand your situation.
मैं आपकी स्थिति को समझता हूँ. मैं देख लेता हूँ की क्या हम आपकी मदद के लिए कुछ कर सकते हैं.,Let me see if there is anything we can do to help.
आपके अकाउंट हिस्ट्री के आधार पर हम आपको एक बार का हार्डशिप प्रोग्राम ऑफर कर सकते हैं,"Based on your account history with us, we are able to offer you a one-time hardship program."
मैं आपके धैर्य की सराहना करता हूँ.,I appreciate your patience.
सबसे पहले चलिए सिस्टम सेटिंग्स को एक्सेस करने की कोशिश करते हैं.,"First, let's try accessing the system settings."
क्या आप थर्मोस्टेट पर मेनू बटन दबा सकते हैं?,Could you press the menu button on the thermostat?
और सिस्टम सेटिंग्स ऑप्शन तक नेविगेट कर लीजिये.,And navigate to the system settings option.
यह सिर्फ कुछ मिनट का समय लेगा.,This should only take a few minutes.
मैं आपकी नाराज़गी को पूरी तरह समझता हूँ.,I completely understand your frustration.
और मैं आपके धैर्य की सराहना करता हूँ.,And I appreciate your patience.
ओह मुझे दिख रहा है की आपको २१ तारिख को दो बार बिल किया गया था.,"Oh, I see you were billed twice on the 21st."
क्या यह सही है?,Is that correct?
ऐसा लगता है की कैंसलेशन प्रोसेस करने में देरी हो गयी थी.,It appears there was a delay in processing the cancellation.
मैं इस महीने का चार्ज रिफंड करने वाला हूँ.,I'm going to refund the charge for this month.
और मैं यह सुनिश्चित करूँगा की आपकी सब्सक्रिप्शन आगे के लिए कैंसिल हो जाये.,And I'll ensure your subscription is canceled going forward.
क्या मैं आपको एक नए कैंपेन के बारे में जल्दी से समझा सकता हूँ जो हम ऑफर कर रहे हैं?,May I just briefly explain a new campaign we are offering?
यह सिर्फ एक मिनट का समय लेगा.,It will only take a minute.
अगर आप सब्सक्राइब करने का फैसला नहीं करते तो मैं आपकी सर्विस कैंसिल करने में ख़ुशी ख़ुशी मदद करूँगा.,"If you choose not to subscribe, I will be more than happy to cancel your service."
जैसे ही मैं कॉल रखता हूँ मैं अपनी तरफ से पूरी कोशिश करूँगा की यह हो सके.,"As soon as I hang up, I will do my best to make that happen."
हम आपके साथ का व्यवसाय की बहुत सराहना करते हैं.,We appreciate your business.
और हम यह सुनिश्चित करने की पूरी कोशिश करेंगे की आगे आपका अनुभव और अच्छा हो.,And we will do our best to ensure you have a better experience going forward.
आपको हुई असुविधा के लिए मैं माफ़ी चाहता हूँ.,I apologize for the inconvenience you've experienced.
मैं समझता हूँ की यह कितना निराशाजनक हो सकता है.,I understand how frustrating that can be.
क्या मैं आपका अकाउंट नंबर ले सकता हूँ ताकि मैं इस समस्या को सुलझा सकूं?,May I please have your account number so that I can address the issue?
अगर आप हमारी होमपेज पर सर्च करते हैं तो हर प्लान के अंदर कवर होने वाली दवाओं की एक लिस्ट मिलेगी.,"If you do a search on our homepage, there is a list of drugs that are covered under each plan."
आप किसी भी स्पेसिफिक दवा के लिए सर्च भी कर सकते हैं ताकि आप देख सकें की वह कवर है या नहीं.,You can also do a search for specific drugs to see if they are covered.
शुक्रिया मिस्टर फेर्गुसन.,Thank you Mr. Ferguson.
मैं अब आपका अकाउंट देख रहा हूँ.,I'm pulling up your account now.
मुझे दिख रहा है की आपने कुछ दिन पहले यह समस्या रिपोर्ट की थी.,I see that you reported the issue a few days ago.
क्या आप बता सकते हैं की एयर कंडीशनर के साथ क्या हो रहा है?,Can you describe what's happening with the air conditioner?
मुझे बहुत अफ़सोस है मिस्टर मिचेल.,I'm so sorry Mr. Mitchell.
मुझे सच में दूसरे कॉलर्स का इंतज़ार है.,I really do have other callers waiting.
इसलिए मुझे अब आपको जाना होगा.,So I'll need to let you go now.
स्मार्ट सोलूशन्स से संपर्क करने के लिए धन्यवाद.,Thank you for contacting Smart Solutions.
और आपका दिन शुभ हो.,And have a wonderful day.
मैं आपकी चिंता को समझता हूँ.,I understand your concern.
और मैं आपको हुई असुविधा के लिए माफ़ी चाहता हूँ.,And I apologize for the inconvenience.
मैं आपको एक सुपरवाइजर के पास ट्रांसफर करता हूँ जो आपकी और मदद कर सकते हैं.,Let me transfer you to a supervisor who can assist you further.
कृपया एक पल के लिए रुक जाइये.,Please hold for a moment.
मुझे यह सुन कर बहुत ख़ुशी हुई मिस थॉम्पसन.,I'm so glad to hear that Miss Thompson.
हमेशा हमारा गोआल यह होता है की आप सर्विस से खुश रहे.,It's always our goal to make sure you're happy with the service.
क्या आज मैं आपकी किसी और चीज़ में मदद कर सकता हूँ?,Is there anything else I can assist you with today?
अगर आप महीने के अंत तक एनरोल करते हैं तो कॉस्ट $१५. ९५ पैर मंथ हो जाएगी.,The cost will increase to $15.95 per month if you enroll by the end of the month.
मैं आपको अगले १२ महीने के लिए करंट प्राइस पर लॉक कर पाउँगा.,I will be able to lock you into the current price for the next 12 months.
शुक्रिया मिस्टर पाचें.,Thank you Mr. Patchen.
हम आपको एक कॉन्ट्रैक्ट ईमेल करेंगे जिसे आपको प्रिंट करना सिग्न करना और स्कैन करना होगा.,"We will email you a contract that you will need to print, sign, and scan."
फिर कृपया इसे अगले दो दिन के अंदर हमें ईमेल कर दें.,Then please email it back to us within the next two days.
वह म है जैसे माइक.,That's M as in Mike.
स है जैसे चार्ली.,C as in Charlie.
ल है जैसे लिमा.,L as in Lima.
इ है जैसे इको.,E as in Echo.
न है जैसे नवंबर.,N as in November.
न फिर से है जैसे नवंबर.,N again as in November.
ा है जैसे अल्फा.,A as in Alpha.
और न है जैसे नवंबर.,And N as in November.
क्या यह सही है?,Is that correct?
यह बिलकुल सही है.,That's so true.
आज कल दाम लगातार बढ़ रहे हैं.,Prices seem to be on a constant rise these days.
अगर आपको कभी और सवाल हो या आपको फ्यूचर में मदद की ज़रूरत हो.,If you ever have more questions or need assistance in the future.
बिना झिझक के हमसे संपर्क करें.,Feel free to reach out.
मुझे आप से कुछ और जानकारी वेरीफाई करनी होगी.,I will need to verify some more information with you.
क्या आप अपना जनम तिथि दे सकते हैं?,Can you please provide your date of birth?
और आपके सोशल सिक्योरिटी नंबर के आखरी चार आंकड़े?,And the last four digits of your Social Security number?
मैं दवाई की कवरेज की महत्व को समझता हूँ.,I understand the importance of medication coverage.
सही जानकारी देने के लिए क्या आप मुझे दवाई का नाम बता सकते हैं?,"To provide accurate information, could you please tell me the name of the medication?"
और दोसागे क्या है?,And the dosage?
आप हमारी सिमित समय की प्रमोशन का फायदा उठा सकते हैं.,You can take advantage of our limited time promotion.
और आप अपने खरीदारी पर १०% का डिस्काउंट पा सकते हैं.,And get 10% off your purchase.
क्या आप चाहेंगे की मैं डिस्काउंट अप्लाई करून और आपके लिए आर्डर प्लेस करून?,Would you like me to apply the discount and place the order for you?
यह एक अच्छा सवाल है.,That's a great question.
दौंगराडे करना आपके एक्सिस्टिंग कॉन्ट्रैक्ट को प्रभावित नहीं करेगा.,Downgrading shouldn't impact your existing contract.
लेकिन मुझे बस इससे कन्फर्म करना होगा.,"However, I just need to confirm this."
क्या मैं आपको थोड़ी देर के लिए होल्ड पर दाल सकता हूँ?,May I place you on a brief hold?
उस वक़्त आपकी सब्सक्रिप्शन एक पेड मेम्बरशिप में बदल गयी थी.,"At that point, your subscription converted into a paid membership."
इसी लिए आपको अगले ६ महीने के लिए $४९. ९९ चार्ज किया गया.,Which is why you were charged $49.99 for the next 6 months.
क्या यह सही लग रहा है?,Does that sound right?
यह सही है.,That's correct.
लेकिन यह ज़रूरी है की आप जान लें की कुछ प्रोसेदूरेस आपके प्लान के अंदर कवर नहीं हो सकते.,"However, it's important to note that some procedures may not be covered under your plan."
जैसे की ेलेक्टिवे या एक्सपेरिमेंटल प्रोसेदूरेस.,Such as elective or experimental procedures.
आपकी मदद करने के लिए इसे तुरंत सुलझाने में.,To help get this resolved for you right away.
आगे बढ़ने से पहले क्या मैं आपका नाम ले सकता हूँ?,"Before we continue, could I please get your name?"
और इस खरीदारी से जुडी आर्डर नंबर क्या है?,And the order number associated with this purchase?
नमस्ते यह माइक है कॉल सेण्टर का मैनेजर.,"Hello, this is Mike, the call center manager."
मैं समझता हूँ की आपके एयर कंडीशनर के साथ कुछ चली आ रही समस्याएं हैं.,I understand you're experiencing some ongoing issues with your air conditioner.
मैं आपकी कैसे मदद कर सकता हूँ?,How can I assist you?
यह रहा.,Here it is.
ओह यह एक खूबसूरत ड्रेस है.,"Oh, that's a beautiful dress."
यह एक हल्का फैब्रिक से बना है जो गर्मी के लिए बिलकुल परफेक्ट है.,It's made of a lightweight fabric that is perfect for the summer.
और व्रैप डिज़ाइन बहुत ही अच्छा लगता है.,And the wrap design is very flattering.
आपका स्वागत है.,You're most welcome.
हेल्थ लाइफ मैगज़ीन के एक महत्वपूर्ण मेंबर होने के लिए धन्यवाद.,Thank you for being a valued Health Life Magazine member.
आपका दिन शुभ हो और जो अच्छी कंटेंट आपके पास आ रही है उसका आनंद लीजिये.,Have a wonderful day and enjoy the great content coming your way.
